epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,370.063,0.46163,0.93748,1.16244,0.60749,0.56994,0.53353,0.47833,0.81461,1.24326,1.3246,0.000478762,0.000478762,0.000478762
74,375.173,0.40873,0.68381,1.08228,0.6527,0.54153,0.54519,0.46967,0.88631,1.37372,1.41224,0.000462259,0.000462259,0.000462259
75,379.644,0.32563,0.65229,1.00666,0.79346,0.59375,0.61228,0.52112,0.82419,1.21996,1.35759,0.000445756,0.000445756,0.000445756
76,385.039,0.39292,0.6059,1.09152,0.71936,0.625,0.58965,0.5066,0.79654,1.31793,1.31813,0.000429253,0.000429253,0.000429253
77,389.39,0.4296,0.65438,1.13568,0.7011,0.59375,0.56832,0.48561,0.87248,1.4803,1.37202,0.000412749,0.000412749,0.000412749
78,393.696,0.38662,0.60703,1.06158,0.61282,0.62102,0.55073,0.48495,0.82982,1.55037,1.3127,0.000396246,0.000396246,0.000396246
79,398.895,0.75275,1.29001,1.39754,0.55502,0.625,0.58512,0.50009,0.79382,1.55002,1.29366,0.000379743,0.000379743,0.000379743
80,403.755,0.32517,0.58685,1.01786,0.66921,0.5625,0.5787,0.47866,0.84846,1.45061,1.35732,0.000363239,0.000363239,0.000363239
81,408.122,0.33721,0.59661,1.05596,0.81749,0.51488,0.54108,0.45679,0.85396,1.68726,1.38455,0.000346736,0.000346736,0.000346736
82,413.255,0.33026,0.56029,1.03079,0.48527,0.65625,0.5529,0.47002,0.91352,1.41178,1.43936,0.000330233,0.000330233,0.000330233
83,418.087,0.37131,0.56278,1.05079,0.67628,0.61723,0.6065,0.51531,0.8176,1.34429,1.29252,0.000313729,0.000313729,0.000313729
84,422.473,0.63115,0.62901,1.34055,0.57886,0.65625,0.5974,0.50565,0.76196,1.41587,1.2375,0.000297226,0.000297226,0.000297226
85,427.504,0.51204,1.45722,1.27513,0.53805,0.63366,0.59615,0.50737,0.7769,1.39364,1.25691,0.000280723,0.000280723,0.000280723
86,432.35,0.33071,0.53249,1.03274,0.66913,0.54613,0.59702,0.50758,0.84107,1.35388,1.32984,0.00026422,0.00026422,0.00026422
87,436.615,0.50681,0.66007,1.27266,0.59537,0.59375,0.61618,0.53104,0.78709,1.28375,1.27998,0.000247716,0.000247716,0.000247716
88,441.777,0.30356,0.5154,1.02046,0.65153,0.5914,0.60125,0.52563,0.75839,1.37103,1.24345,0.000231213,0.000231213,0.000231213
89,446.689,0.31416,0.68482,1.01958,0.59185,0.625,0.57024,0.49611,0.7446,1.50055,1.223,0.00021471,0.00021471,0.00021471
90,452.029,0.28953,0.5638,1.02721,0.54357,0.62729,0.56112,0.48,0.70988,1.47399,1.18236,0.000198206,0.000198206,0.000198206
