epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,637.259,2.12795,3.97432,2.28122,0.00104,0.46154,0.00208,0.00082,2.20385,4.48306,2.43196,0.0014456,0.0014456,0.0014456
58,646.221,2.38577,4.07603,2.46005,0.00221,0.76923,0.00584,0.00174,2.17948,3.89077,2.44279,0.0014357,0.0014357,0.0014357
59,657.889,2.31146,3.87555,2.4315,0.00029,0.23077,0.00165,0.00041,2.19323,nan,2.72584,0.0014258,0.0014258,0.0014258
60,666.725,2.2014,3.99355,2.37238,0.00209,0.30769,0.00174,0.00048,nan,nan,nan,0.0014159,0.0014159,0.0014159
61,675.64,2.20753,3.81686,2.37775,0.00188,0.53846,0.00443,0.00158,2.36613,nan,3.09741,0.001406,0.001406,0.001406
62,689.723,2.33903,3.85358,2.38499,0.0019,0.61538,0.00379,0.00164,2.31015,4.18416,2.49802,0.0013961,0.0013961,0.0013961
63,703.224,2.20896,3.80463,2.30169,0.00293,0.53846,0.01347,0.00644,2.27639,3.99096,2.43725,0.0013862,0.0013862,0.0013862
64,711.563,2.19644,3.6581,2.31115,0.00247,0.84615,0.01476,0.00676,2.12571,3.42584,2.28937,0.0013763,0.0013763,0.0013763
65,722.025,2.28327,3.66552,2.37395,0.00168,0.84615,0.00899,0.00427,2.07104,3.64721,2.28712,0.0013664,0.0013664,0.0013664
66,736.156,2.15425,3.79206,2.27483,0.00166,0.84615,0.00519,0.00236,1.84914,3.67685,2.20352,0.0013565,0.0013565,0.0013565
67,750.618,2.17359,3.61991,2.30926,0.0032,0.76923,0.00796,0.00244,2.3107,3.67547,2.4809,0.0013466,0.0013466,0.0013466
68,759.406,2.22248,3.72403,2.44664,0,0,0,0,2.80831,5.67949,2.77939,0.0013367,0.0013367,0.0013367
69,770.214,2.17391,3.80442,2.37313,0.00138,0.69231,0.002,0.00077,2.07853,4.03989,2.34151,0.0013268,0.0013268,0.0013268
70,779.149,2.20217,3.70249,2.38789,0.00148,0.76923,0.00636,0.00251,2.04506,4.09654,2.31146,0.0013169,0.0013169,0.0013169
71,787.53,2.15605,4.04413,2.32823,0.0017,0.53846,0.00207,0.0006,nan,nan,nan,0.001307,0.001307,0.001307
72,800.791,2.22101,3.839,2.36252,0.00116,0.30769,0.00288,0.00107,2.32243,nan,2.82596,0.0012971,0.0012971,0.0012971
73,810.691,2.17521,3.86472,2.32889,0.0016,0.69231,0.00455,0.00184,1.99512,3.68892,2.298,0.0012872,0.0012872,0.0012872
74,819.659,2.24377,3.72311,2.3793,0.00133,0.69231,0.003,0.00146,1.99147,4.06538,2.28164,0.0012773,0.0012773,0.0012773
75,831.546,2.1096,3.83126,2.29312,0.00116,0.61538,0.00279,0.00096,2.21335,4.26577,2.41382,0.0012674,0.0012674,0.0012674
76,840.02,2.22917,3.57354,2.32042,0.00283,0.76923,0.00945,0.00343,2.30269,3.9875,2.38678,0.0012575,0.0012575,0.0012575
77,849.352,2.11938,3.81298,2.26073,0.00179,0.84615,0.0069,0.00274,1.95647,3.82211,2.27467,0.0012476,0.0012476,0.0012476
78,857.698,2.15021,3.82986,2.39189,0.00202,0.76923,0.00919,0.00347,1.90304,3.82574,2.27611,0.0012377,0.0012377,0.0012377
79,867.552,2.13308,3.7388,2.31487,0.0027,0.69231,0.00591,0.00219,2.13705,4.03669,2.54829,0.0012278,0.0012278,0.0012278
80,879.004,2.14577,3.7855,2.32147,0.00214,0.69231,0.00453,0.00143,2.26375,3.91498,2.7191,0.0012179,0.0012179,0.0012179
