epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,194.872,2.08821,2.78718,2.68443,0.08271,0.26087,0.12438,0.03632,1.97851,2.74123,2.58424,0.000660299,0.000660299,0.000660299
63,198.269,2.05066,2.79547,2.64334,0.61762,0.13043,0.10449,0.03148,2.031,2.83897,2.75692,0.000643795,0.000643795,0.000643795
64,200.837,1.99872,2.82362,2.64375,0.12567,0.15217,0.14066,0.03776,2.1207,2.81647,2.76001,0.000627292,0.000627292,0.000627292
65,203.451,2.10082,2.80135,2.677,0.59796,0.15217,0.15919,0.03621,2.10605,2.99441,2.75063,0.000610789,0.000610789,0.000610789
66,205.973,2.03891,2.7346,2.63616,0.63145,0.12427,0.11776,0.03939,2.14297,2.76709,2.75084,0.000594286,0.000594286,0.000594286
67,209.285,2.04196,2.70295,2.63344,0.62418,0.13043,0.16048,0.05585,2.07959,2.68919,2.72844,0.000577782,0.000577782,0.000577782
68,212.169,2.04138,2.74613,2.63364,0.67987,0.15217,0.1752,0.06386,2.02482,2.5649,2.66552,0.000561279,0.000561279,0.000561279
69,214.594,2.0193,2.67637,2.61752,0.77859,0.19565,0.18174,0.06245,2.04991,2.59794,2.67604,0.000544776,0.000544776,0.000544776
70,217.245,1.99788,2.73552,2.57816,0.71801,0.17391,0.21663,0.07551,2.08629,2.64239,2.74201,0.000528272,0.000528272,0.000528272
71,219.76,2.0531,2.8053,2.65585,0.68473,0.19565,0.19893,0.07089,2.09028,2.62644,2.7414,0.000511769,0.000511769,0.000511769
72,223.482,2.04326,2.67767,2.64793,0.60772,0.21739,0.14369,0.05885,1.91482,2.77308,2.5936,0.000495266,0.000495266,0.000495266
73,227.001,2.03642,2.71776,2.60984,0.65306,0.06522,0.13874,0.0561,1.94761,2.6987,2.61323,0.000478762,0.000478762,0.000478762
